Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,6.08786476785639E-09,8.07619537823712E-06,0.144032084321569,0,0,0,0.378441862038391,0.00031446282782493,7.0003996665484E-12,1.16261693490524E-12,0.00070862756951546,8.42367440324371E-11,0.00102261356077474,0,0,0,0,0,0,package://ensambFinal2/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://ensambFinal2/meshes/base_link.STL,,UpModVillamany-1;downModVillamanyV2-3,base_link_car,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
leg_link,-2.19098739151491E-10,-4.55608883953573E-10,-0.0473020063077466,0,0,0,0.054089183968301,0.000125380501803204,4.49602259312539E-14,-1.34427160567444E-13,0.000125380501775018,-1.78463707729355E-13,7.07252921065922E-05,0,0,0,0,0,0,package://ensambFinal2/meshes/leg_link.STL,0.180392156862745,0.180392156862745,0.180392156862745,1,0,0,0,0,0,0,package://ensambFinal2/meshes/leg_link.STL,,legLargeAv3-5;legLargeAv3-4;legLargeAv3-3;legLargeAv3-2,leg_link_car,Axis_leg_link_join,leg_link_join,fixed,0,0,0.132,0,0,0,base_link,0,0,0,,,,,,,,,,,,
battery_link,2.2204E-16,0,0.021,0,0,0,0.19453,4.2923E-05,-1.0651E-17,-6.7665E-21,0.00041696,4.248E-20,0.00040304,0,0,0,0,0,0,package://ensambFinal2/meshes/battery_link.STL,1,0,0,1,0,0,0,0,0,0,package://ensambFinal2/meshes/battery_link.STL,,battery-3,battery_link_car,Axis_battery_link_joint,battery_link_joint,fixed,-0.0254345337045486,-0.000222161622824846,0.09,0,0,0,base_link,0,0,0,,,,,,,,,,,,
jetson_link,-0.0061136923619951,-4.44089209850063E-16,-0.0193380249795172,0,0,0,0.492086592201425,0.000649241398696012,2.23616698075135E-18,-3.21084449631311E-06,0.000555306717180541,1.7818410638166E-20,0.00108977762498107,0,0,0,0,0,0,package://ensambFinal2/meshes/jetson_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://ensambFinal2/meshes/jetson_link.STL,,jetson-1,jetson_link_car,Axis_jetson_link_joint,jetson_link_joint,fixed,0.00570216508420418,0.000181695463438825,0.210999999999999,0,0,0,base_link,0,0,0,,,,,,,,,,,,
d435_link,0.081851,-0.0015739,0.14489,0,0,0,0.043919,2.6619E-05,-3.8865E-08,-7.8416E-10,3.7905E-06,-3.5641E-10,2.6815E-05,0,0,0,0,0,0,package://ensambFinal2/meshes/d435_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ensambFinal2/meshes/d435_link.STL,,d435i-1,d435_link_car,Axis_d435_link_joint,d435_link_joint,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
t265_link,0,0.0084958,0.0057875,0,0,0,0.02522,2.3287E-05,6.9483E-21,-6.9902E-23,1.407E-06,-7.9779E-08,2.4276E-05,0,0,0,0,0,0,package://ensambFinal2/meshes/t265_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ensambFinal2/meshes/t265_link.STL,,t265-1,t265_link_car,Axis_t265_link_joint,t265_link_joint,fixed,0.0824052505915143,-0.00862818550105171,0.118529424882819,0,0,0,base_link,0,0,0,,,,,,,,,,,,
front_arm_link,-0.0089565,-0.09809,-0.0071207,0,0,0,0.084665,0.00016909,-6.9045E-14,-8.09E-06,0.00016909,2.1627E-10,0.00033135,0,0,0,0,0,0,package://ensambFinal2/meshes/front_arm_link.STL,1,0,0,1,0,0,0,0,0,0,package://ensambFinal2/meshes/front_arm_link.STL,,ArmModVillamanyV2-2;ArmModVillamanyV2-1,front_arm_link_car,Axis_front_arm_link_joint,front_arm_link_joint,fixed,0.0980914901926789,0.0980914949967717,0.170999999999999,0,0,0,base_link,0,0,0,,,,,,,,,,,,
back_arm_link,0.0089565,0.09809,-0.0071207,0,0,0,0.084665,0.00016909,1.9305E-13,8.09E-06,0.00016909,-2.1627E-10,0.00033135,0,0,0,0,0,0,package://ensambFinal2/meshes/back_arm_link.STL,1,1,1,1,0,0,0,0,0,0,package://ensambFinal2/meshes/back_arm_link.STL,,ArmModVillamanyV2-4;ArmModVillamanyV2-3,back_arm_link_car,Axis_back_arm_link_joint,back_arm_link_joint,fixed,-0.0980914901926772,-0.0980914949967722,0.170999999999999,0,0,0,base_link,0,0,0,,,,,,,,,,,,
prop_guard_link,3.3619E-05,-3.3452E-06,0.0015,0,0,0,0.084635,0.00040912,1.0752E-12,-1.1324E-13,0.00040932,1.157E-13,0.00081832,0,0,0,0,0,0,package://ensambFinal2/meshes/prop_guard_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ensambFinal2/meshes/prop_guard_link.STL,,prop guard-4;prop guard-3;prop guard-1;prop guard-2,prop_guard_link_car,Axis_prop_guard_link_joint,prop_guard_link_joint,fixed,0,3.69664538357739E-05,0.170999999999999,0,0,0,base_link,0,0,0,,,,,,,,,,,,
motor_link,0.00077732,-0.0001817,0.013912,0,0,0,0.057143,5.7889E-06,-5.294E-23,-3.6525E-22,5.7889E-06,2.1435E-22,5.0078E-06,0,0,0,0,0,0,package://ensambFinal2/meshes/motor_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://ensambFinal2/meshes/motor_link.STL,,motor-5;motor-1;motor-3;motor-2,motor_link_car,Axis_motor_link_joint,motor_link_joint,continuous,-0.000777316557265428,0.000181695463438825,0.172999999999999,0,0,0,base_link,0,0,1,,,,,,,,,,,,
